,Ticker,Empresa,Setor,Indústria,P/L,P/VP,ROE (%),Dívida/Patrimônio,Margem Líquida (%),Valor de Mercado (Bilhões)
0,PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,5.0519485,1.2736143,21.757999,81.548,16.81,529.05558016
1,VALE3.SA,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,4.5215383,1.2032014,23.332000999999998,41.793,22.856002,250.915356672
2,ABEV3.SA,Ambev S.A.,Consumer Defensive,Beverages - Brewers,14.465909,2.040064,15.071000000000002,3.418,16.922002,200.219967488
5,B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges,11.871796,2.6973493,21.895999999999997,67.222,46.104,49.615822848
6,WEGE3.SA,WEG S.A.,Industrials,Specialty Industrial Machinery,37.199997,11.4741535,34.195,18.449,17.055,226.30580224
7,EQTL3.SA,Equatorial Energia S.A.,Utilities,Utilities - Regulated Electric,16.281916,1.6646726,13.133000000000001,178.08,5.1960003,38.17250816
8,RADL3.SA,Raia Drogasil S.A.,Healthcare,Pharmaceutical Retailers,36.424244,6.5414968,18.812001000000002,119.836,2.945,41.233891328
10,ITSA4.SA,Itaúsa S.A.,Industrials,Conglomerates,7.1691175,1.1644572,16.341,15.396,172.928,101.311275008
11,JBSS3.SA,JBS S.A.,Consumer Defensive,Packaged Foods,11.207208,1777.1428,36.137,230.425,1.8370000000000002,82.780233728
12,RENT3.SA,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,23.784811,1.5546914,6.6139996000000005,173.212,4.759,39.597297664
14,LREN3.SA,Lojas Renner S.A.,Consumer Cyclical,Department Stores,12.871796,1.4323759,11.5229994,37.767,8.364,15.839053824
15,SUZB3.SA,Suzano S.A.,Basic Materials,Paper & Paper Products,19.318886,1.8646348,10.078,226.865,9.58,77.328572416
16,KLBN11.SA,Klabin S.A.,Basic Materials,Paper & Paper Products,33.6006,13.517954,14.674999999999999,321.237,10.934000000000001,128.619667456
17,GGBR4.SA,Gerdau S.A.,Basic Materials,Steel,8.903508,0.76546,9.149000000000001,24.909,7.437,41.407127552
20,ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities,Utilities - Renewable,7.7936506,0.63746125,8.665000000000001,59.846,27.093,78.567071744
21,TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.,Utilities,Utilities - Regulated Electric,39.183907,1.6872061,24.502,145.404,42.408,11.743971328
22,CMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified,5.69378,1.3809911,23.719999,45.253,15.741,37.007572992
24,EMBR3.SA,Embraer S.A.,Industrials,Aerospace & Defense,14.282555,2.5011833,16.434,80.775,8.272999500000001,42.70422016
