ticker,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,Valorização (%)
PETR4.SA,223524848019.46698,331762269771.3483,5.1805553,3.7114427,5.257223,5.676,5.187,13.366,0.15185,0.48693,0.31582,0.07835,0.18483,6.636,5.76,8.04,85533376512.0,20651242215.72584,92.443,0.758,0.449,9500999680.0,68064002048.0,11570957009.77169,309.44
VALE3.SA,223524848019.46698,331762269771.3483,9.395738,5.170017,1.2303675,50.172,1.67,4.887,0.13814001,0.34244,0.25099,0.07119,0.12837,49.078,6.57,8.673586620201755,117337169576.0128,20651242215.72584,50.133,1.215,0.647,31086999552.0,110776999936.0,-2812499968.0,93.4
ABEV3.SA,188824371200.0,175194161152.0,12.882978,12.484535,2.041814,5.931,1.91,6.416,0.16083999,0.51496,0.22152,0.100039996,0.16048999,5.848,0.94,0.97,91719729152.0,20651242215.72584,3.388,1.106,0.715,17524578304.0,3157764096.0,11570957009.77169,-20.1
ITUB4.SA,223524848019.46698,331762269771.3483,9.5075,8.213822,1.9664924,19.339,7.547,7.778,0.3179,0.0,0.26951,0.01565,0.20809,12.703,4.0,4.63,117337169576.0128,2438000128.0,79.087,1.525,1.2734999999999999,37428985602.742744,127285117892.25839,364442256.0,14.38
BBDC4.SA,177461805056.0,331762269771.3483,9.72043,7.7264957,1.0986874,16.456,7.71,7.778,0.23561001,0.0,0.35789,0.0101,0.123459995,8.288,1.86,2.34,87804395520.0,2438000128.0,79.087,1.525,1.2734999999999999,37428985602.742744,127285117892.25839,364442256.0,-40.67
B3SA3.SA,64130809856.0,66429767680.0,13.888889,13.44086,3.291206,3.798,6.803,10.163,0.49303,0.95682997,0.66788,0.08537,0.24775,1.838,0.9,0.93,9765376000.0,6536744960.0,75.917,2.62,2.331,13541256192.0,14993871872.0,2235344896.0,4.92
WEGE3.SA,173575929856.0,171865538560.0,26.863636,24.625,7.7457404,5.341,4.153,19.613,0.15667,0.33394,0.19865,0.13024001,0.31188,9.863,1.54,1.68,41379594240.0,8762923008.0,19.717,1.779,1.048,7335310848.0,4617108992.0,2931298560.0,326.98
EQTL3.SA,46495232000.0,96904749056.0,12.926829,13.947368,1.6595839,22.355,1.958,7.835,0.07383,0.24229999,0.24238001,0.05548,0.15245,38.112,2.87,2.66,49485770752.0,12368347136.0,172.946,1.243,1.206,9209296896.0,55537094656.0,5722153472.0,91.53
RADL3.SA,33540614144.0,41370963968.0,26.45946,21.282608,5.0269575,3.895,1.01,13.111,0.02982,0.29402,0.06633,0.06862,0.19186,24.853,0.74,0.92,40958795776.0,3155373056.0,125.938,1.398,0.438,605299008.0,8420909056.0,1459374976.0,95.28
BBAS3.SA,117136171008.0,331762269771.3483,7.381295,2.973913,0.6622132,30.987,10.368,7.778,0.3,0.0,0.23688,0.01194,0.15581,14.56,2.78,6.9,83114065920.0,2438000128.0,79.087,1.525,1.2734999999999999,37428985602.742744,127285117892.25839,364442256.0,46.55
