ticker,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,earningsPerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow
PETR4.SA,413219520512.0,726299836416.0,8.131579,3.8432837,,1.0061214,30.712,1.464,3.701,0.09696,0.49666,0.35481998,0.08658,0.12019,38.496,,3.8,8.04,496251994112.0,196239998976.0,93.137,0.718,0.408,44038000640.0,370313986048.0,101453996032.0
VALE3.SA,222403428352.0,312566382592.0,6.6624036,4.363484,,1.1005492,47.34,1.478,4.222,0.14875,0.35452,0.273,0.07763,0.15003,49.531,,7.82,11.94,211524993024.0,74029998080.0,51.02,1.11,0.547,22958999552.0,106486996992.0,20958375936.0
ABEV3.SA,219300118528.0,203385241600.0,15.417582,14.463917,,2.3224633,6.041,2.219,7.452,0.15742,0.51456,0.25207,0.099980004,0.16239999,5.834,,0.91,0.97,91673747456.0,27293138944.0,3.371,1.107,0.742,20310261760.0,3218170112.0,18302226432.0
ITUB4.SA,381497802752.0,1000373944320.0,9.57289,8.084233,,2.0067554,18.652,7.257,,0.30306998,0.0,0.36894,0.01582,0.21149,12.997,,3.91,4.63,137859006464.0,,,,,389373001728.0,976235003904.0,
BBDC4.SA,159589597184.0,664794103808.0,9.642858,6.9230776,,1.0049628,16.12,7.949,,0.22405,0.0,0.32076,0.0094800005,0.112670004,7.887,,1.68,2.34,83628048384.0,,,,,205543997440.0,698441531392.0,
B3SA3.SA,72651743232.0,73624059904.0,15.852273,15.0,,3.8685524,3.606,7.606,11.622,0.48895,0.9601,0.65436995,0.084910005,0.24464001,1.802,,0.88,0.93,9680094208.0,6335019008.0,81.792,2.129,2.084,14479451136.0,15382788096.0,2275929600.0
WEGE3.SA,177687887872.0,176974544896.0,28.422817,25.208334,,8.349763,5.072,4.421,20.345,0.15639,0.33620998,0.19312,0.14083,0.32733002,9.542,,1.49,1.68,40032206848.0,8698839040.0,17.987,1.707,0.949,5657674240.0,3998317056.0,1256075520.0
EQTL3.SA,45870411776.0,94089142272.0,14.898375,13.778195,,1.7130171,21.395,1.994,8.425,0.06546,0.2518,0.19895001,0.05133,0.13803001,37.046,,2.46,2.66,47177609216.0,11168422912.0,177.474,1.244,1.193,10282952704.0,54542045184.0,5073956352.0
RADL3.SA,25438050304.0,32700510208.0,20.915495,16.141304,,3.9223456,3.786,0.821,10.67,0.02948,0.29571,0.051009998,0.06762,0.18677999,24.151,,0.71,0.92,39814971392.0,3064745984.0,118.728,1.345,0.391,470176000.0,7717969920.0,1361559168.0
BBAS3.SA,133690490880.0,810662625280.0,6.1469817,3.394203,,0.756631,30.953,8.762,,0.33343,0.0,0.20447001,0.0146200005,0.18902001,16.207,,3.81,6.9,92521717760.0,,,,,407310139392.0,1079060725760.0,
ITSA4.SA,120558944256.0,129606246400.0,8.021739,6.589286,,1.389656,7.966,15.802,72.609,1.85528,0.28603,-0.00525,0.00374,0.17547001,0.751,,1.38,1.68,8201999872.0,1784999936.0,13.795,1.973,1.582,7448999936.0,12535000064.0,323375008.0
JBSS3.SA,88990965760.0,195675881472.0,7.268116,9.598086,,2.0548015,19.525,0.443,5.185,0.02465,0.15032,0.0497,0.07797,0.25443,199.238,,5.52,4.18,441932349440.0,37740699648.0,274.843,1.623,0.845,27711750144.0,130297348096.0,16849579008.0
RENT3.SA,45276401664.0,81382989824.0,23.866667,12.416184,,1.7126455,25.084,2.102,12.441,0.04966,0.19853,0.20337,0.049429998,0.0733,36.654,,1.8,3.46,38724452352.0,6541362176.0,167.454,1.429,1.084,8169580032.0,44275593216.0,4346184192.0
HAPV3.SA,21220597760.0,28730648576.0,,9.862069,,0.434981,6.575,0.976,14.075,-0.02305,0.11431,0.05776,0.0063899998,-0.01387,3.859,,-0.07,0.29,29422759936.0,2041281024.0,34.819,1.77,1.568,9478152192.0,16986448896.0,-805500224.0
LREN3.SA,18265872384.0,19696930816.0,15.008264,11.566878,,1.786171,10.167,1.332,9.928,0.08647,0.60828,0.0849,0.05343,0.12555,14.094,,1.21,1.57,14785692672.0,1983933056.0,29.135,1.67,1.296,1630807040.0,2990956032.0,1291084544.0
SUZB3.SA,61350522880.0,143100198912.0,,6.792066,,1.6016129,31.0,2.891,6.023,-0.019170001,0.40541,0.2101,0.06018,-0.02202,39.497,,-5.4,7.31,49497600000.0,23760537600.0,254.035,2.614,1.835,16430827520.0,97894088704.0,1235675136.0
KLBN11.SA,128619692032.0,145407787008.0,27.700453,9.536458,,12.903453,1.419,7.244,20.299,0.09,0.30372998,0.110649996,0.03464,0.16363001,3.3,,0.661,1.92,20074215424.0,7163262976.0,335.019,1.959,1.391,6470301184.0,37884788736.0,-3924036864.0
GGBR4.SA,30157637632.0,40269099008.0,9.651898,5.2768164,,0.55237615,27.608,0.591,4.673,0.04798,0.12802,0.079229996,0.044710003,0.061,32.888,,1.58,2.89,68191727616.0,8616631296.0,28.449,2.64,1.236,6869878784.0,15994067968.0,-776627904.0
ENBR3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
CSNA3.SA,10940241920.0,47534440448.0,,7.9326925,,0.8362051,9.866,1.059,5.851,-0.0584,0.26296,0.08712,0.02974,-0.0994,33.845,,-1.98,1.04,44882096128.0,8124748800.0,332.839,1.637,1.153,20701886464.0,54119878656.0,-695615104.0
